,domLoadTime,networkTime,pageLoadTime,searchTime,url
117,705.0,766.0,1.0,818.0,http://www.bing.com
118,3314.0,820.0,33.0,3585.0,http://www.yahoo.co.jp
119,4967.0,1548.0,96.0,5174.0,http://www.naver.com
120,4923.0,1751.0,56.0,5196.0,http://www.daum.net
121,4747.0,1580.0,59.0,5034.0,http://www.nate.com
122,3495.0,231.0,27.0,3755.0,http://www.baidu.com
123,5017.0,671.0,43.0,5216.0,http://www.google.com
124,509.0,533.0,1.0,599.0,http://www.bing.com
125,3214.0,929.0,37.0,3542.0,http://www.yahoo.co.jp
126,5862.0,2417.0,86.0,6127.0,http://www.naver.com
127,2917.0,225.0,32.0,3153.0,http://www.daum.net
128,4807.0,1474.0,59.0,5097.0,http://www.nate.com
129,2838.0,391.0,26.0,3102.0,http://www.baidu.com
130,794.0,827.0,0.0,953.0,http://www.google.com
131,612.0,629.0,0.0,700.0,http://www.bing.com
132,3230.0,1081.0,39.0,3568.0,http://www.yahoo.co.jp
133,5026.0,1485.0,107.0,5242.0,http://www.naver.com
134,3652.0,220.0,24.0,3882.0,http://www.daum.net
135,4824.0,235.0,65.0,5110.0,http://www.nate.com
136,3048.0,401.0,18.0,3314.0,http://www.baidu.com
137,599.0,563.0,1.0,771.0,http://www.google.com
138,820.0,854.0,0.0,908.0,http://www.bing.com
139,3322.0,963.0,32.0,3598.0,http://www.yahoo.co.jp
140,5230.0,1613.0,93.0,5467.0,http://www.naver.com
141,4931.0,213.0,60.0,5184.0,http://www.daum.net
142,4726.0,235.0,70.0,5005.0,http://www.nate.com
143,2830.0,237.0,29.0,3098.0,http://www.baidu.com
144,1177.0,643.0,16.0,1346.0,http://www.google.com
145,553.0,568.0,0.0,644.0,http://www.bing.com
146,3290.0,1078.0,27.0,3632.0,http://www.yahoo.co.jp
147,5167.0,1916.0,93.0,5424.0,http://www.naver.com
148,6014.0,503.0,59.0,6557.0,http://www.daum.net
149,4687.0,242.0,71.0,4977.0,http://www.nate.com
150,2829.0,385.0,23.0,3092.0,http://www.baidu.com
151,2955.0,812.0,22.0,3140.0,http://www.google.com
152,461.0,481.0,0.0,554.0,http://www.bing.com
153,3296.0,890.0,35.0,3571.0,http://www.yahoo.co.jp
154,5302.0,1853.0,101.0,5568.0,http://www.naver.com
155,5068.0,246.0,44.0,5338.0,http://www.daum.net
156,5651.0,209.0,69.0,5912.0,http://www.nate.com
157,2770.0,257.0,22.0,3046.0,http://www.baidu.com
158,2963.0,884.0,20.0,3136.0,http://www.google.com
159,471.0,494.0,0.0,561.0,http://www.bing.com
160,3215.0,1054.0,28.0,3535.0,http://www.yahoo.co.jp
161,5479.0,1756.0,106.0,5743.0,http://www.naver.com
162,5536.0,224.0,50.0,5793.0,http://www.daum.net
163,5064.0,246.0,66.0,5357.0,http://www.nate.com
164,3390.0,238.0,26.0,3660.0,http://www.baidu.com
165,771.0,677.0,0.0,949.0,http://www.google.com
166,494.0,524.0,0.0,588.0,http://www.bing.com
167,3354.0,914.0,37.0,3661.0,http://www.yahoo.co.jp
168,5014.0,1630.0,98.0,5229.0,http://www.naver.com
169,4928.0,1872.0,46.0,5176.0,http://www.daum.net
170,4597.0,203.0,65.0,4850.0,http://www.nate.com
171,2897.0,237.0,26.0,3158.0,http://www.baidu.com
