,computationTime,networkTime,plt
0,861.0,1731.0,2731.0
1,127.0,1132.0,1315.0
2,256.0,1426.0,1747.0
3,201.0,1140.0,1422.0
4,168.0,1223.0,1456.0
5,178.0,1097.0,1368.0
6,240.0,1174.0,1473.0
7,330.0,1425.0,1804.0
8,251.0,1382.0,1829.0
9,484.0,1113.0,1688.0
