,networkTime,pageLoadTime,searchTime,url
162,202.0,1151.0,1339.0,http://www.naver.com
163,272.0,1459.0,1721.0,http://www.daum.net
164,1630.0,4025.0,5547.0,http://www.baidu.com
165,516.0,560.0,718.0,http://www.google.com
166,427.0,452.0,551.0,http://www.bing.com
167,1641.0,1751.0,1939.0,http://www.yahoo.co.jp
168,181.0,1531.0,1662.0,http://www.naver.com
169,245.0,1345.0,1561.0,http://www.daum.net
170,1441.0,3395.0,4916.0,http://www.baidu.com
171,558.0,563.0,744.0,http://www.google.com
172,760.0,749.0,847.0,http://www.bing.com
173,953.0,1034.0,1274.0,http://www.yahoo.co.jp
174,198.0,1123.0,1320.0,http://www.naver.com
175,262.0,1347.0,1593.0,http://www.daum.net
176,1835.0,5312.0,6838.0,http://www.baidu.com
177,606.0,1046.0,1196.0,http://www.google.com
178,819.0,775.0,880.0,http://www.bing.com
179,2088.0,1877.0,2504.0,http://www.yahoo.co.jp
